"id","lat","long"
"1000165 - Scole, A143 Scole-Stuston Bypass",52.36266,1.159824025
"1000166 - Crownthorpe, Wicklewood",52.58352,1.080879369
"1000167 - Lancing Down",50.84807,-0.328010681
"1000168 - Greenwich Park",51.48127,0.001558654
"1000169 - Lullingstone",51.36418,0.196533335
"1000170 - Castle Field, Worth",51.25017,1.3458945
"1000171 - Keston",51.3505,0.028999999
"1000172 - Springhead, sanctuary complex",51.43066,0.32613761
"1000173 - Springhead, roadside settlement",51.4307,0.323981736
"1000174 - Thurnham",51.2847,0.579052952
"1000175 - Richborough temples",51.28995,1.329420998
"1000176 - Boxted, Upchurch",51.36451,0.658099701
"1000177 - Farley Heath",51.19389,-0.49751161
"1000178 - Wanborough Roman Temple",51.23794,-0.683091189
"1000179 - Church Field, Titsey",51.27624,0.035920719
"1000180 - Chanctonbury Ring",50.89682,-0.381227592
"1000181 - Broadbridge, Bosham",50.83983,-0.852303555
"1000182 - Ratham Mill, Funtington",50.85183,-0.852122691
"1000183 - Weycock Hill",51.49345,-0.817544128
"1000184 - Bancroft temple-Mausoleum",52.05657,-0.797733369
"1000185 - Bourton Grounds temple",51.99158,-0.939216473
"1000186 - Chedworth temple",51.81811,-1.91261855
"1000187 - Lydney Park",51.72146,-2.557441682
"1000188 - Uley",51.69565,-2.306678281
"1000189 - Hayling Island temple",50.82193,-0.972536725
"1000190 - Sansom's Platt",51.86778,-1.343901034
"1000191 - Woodeaton",51.80893,-1.223670327
"1000192 - Marcham/Frilford",51.6633,-1.366780827
"1000193 - Nettleton",51.49076,-2.257769643
"1000194 - Badbury Romano-Celtic temple",50.82652,-2.057591749
"1000195 - Maiden Castle",50.69488,-2.46999813
"1000196 - Poundbury",50.71896,-2.451285648
"1000197 - Jordan Hill",50.63755,-2.427115997
"1000198 - Brean Down",51.32421,-3.015511638
"1000199 - Henley Wood",51.3831,-2.801914168
"1000200 - Pagans Hill, Chew Stoke",51.36073,-2.637358019
"1000201 - Lamyatt Beacon",51.12394,-2.473626892
"1000202 - Redhill, Ratcliffe on Soar",52.86942,-1.269562233
"1000203 - Cosgrove",52.07176,-0.841971487
"1000204 - Thistleton religious complex/town",52.74453,-0.65474716
"1000205 - Grimstock Hill, Coleshill",52.51183,-1.714308514
"1000206 - Maryport",54.72287,-3.489841344
"1000207 - Great Bulmore",51.61875,-2.927248119
"1000208 - Caersws Vicus 84-93",52.5169,-3.428691514
"1000209 - Temple of Saturn",36.42555,9.22063
"1000210 - Temple of Saturn",36.400753,9.907412
"1000211 - Temple of Saturn",36.463333,6.483889
"1000212 - Temple of Hercules",31.9538,35.9349
"1000213 - Temple of Herakles",37.290252,13.586221
"1000214 - Temple of Hera Lakinia",37.288662,13.600197
"1000215 - Temple of Concord",37.289747,13.592005
"1000216 - Temple of Asclepius",37.282531,13.589582
"1000217 - Temple of Olympian Zeus",37.290982,13.584423
"1000218 - Temple of Hephaistos",37.292956,13.578769
"1000219 - Sacellum",37.292956,13.578769
"1000220 - Temple of the Dioscuri",37.291344,13.581507
"1000221 - Temple L",37.291043,13.581401
"1000222 - Temple of Demeter",37.299241,13.603379
"1000223 - Temple of Isis",37.298272,13.589222
"1000224 - Temple of Poseidon",37.650153,24.024573
"1000225 - Temple of Athena",37.652933,24.027015
"1000226 - Heroon of Phrontis",37.653068,24.02716
"1000227 - Capitolium",41.29215,13.248628
"1000228 - Church of San Cesareo",41.291923,13.248411
"1000229 - Temple of Apollo",40.74921,14.4844
"1000230 - Temple of Bellona",41.752632,12.291518
"1000231 - Tharros",39.873825,8.440263
"1000232 - Temple of Juno",41.887016,12.71593
"1000233 - Temple of Antas",39.394028,8.500288
"1000234 - Punico-Roman Temple",39.222012,9.106047
"1000235 - Capitolium",45.539905,10.225802
"1000236 - Temple of Jupiter",40.121441,8.94209
"1000237 - Temple at Bovianum Vetus",41.73999,14.386793
"1000238 - Temple of Hera Lacinia",39.02651,17.204949
"1000239 - Temple complex",40.383694,16.823549
"1000240 - Temple of Venus Erycina",37.941475,12.832296
"1000241 - Temple of Diana",41.723934,12.710217
"1000242 - Twin Temples",42.639618,12.557378
"1000243 - Acropolis",42.988754,10.5092
"1000244 - Temple of Fortuna",41.838009,12.89152
"1000245 - Temple of Minerva",43.071224,12.614974
"1000246 - Temple of Athena",37.05965,15.29354
"1000247 - Temple of Apollo",37.063938,15.29297
"1000248 - Temple of Diana",42.672871,11.05109
"1000249 - Temple of Venus, Baiae",40.816093,14.071485
"1000250 - Temple of Diana, Baiae",40.819092,14.070563
"1000251 - Temple of Jupiter",40.849385,14.051347
"1000252 - Temple of Apollo",40.848538,14.053502
"1000253 - Temple of Apollo",40.839336,14.082209
"1000254 - Temple of Hera",40.419327,15.005457
"1000255 - Temple of Hera",40.419971,15.005339
"1000256 - Sanctuary of Minerva",45.954277,10.284884
"1000257 - Temple A",40.283569,15.905277
"1000258 - Temple B",40.283955,15.906185
"1000259 - Temple C",40.285255,15.906856
"1000260 - Temple D",40.285954,15.907481
"1000261 - Oratorio di Falaride",37.296696,13.58861
"1000262 - Temple of Demeter",39.20137,8.635581
"1000263 - Temple of Victory",37.973946,13.82408
"1000264 - Capitolium",41.754478,12.28806
"1000265 - Nymphaeum",41.757095,12.295577
"1000266 - Temple of Rome and Augustus",41.753574,12.288665
"1000267 - Temple 'C'",37.583237,12.825288
"1000268 - Temple 'A'",37.582607,12.825358
"1000269 - Temple 'B'",37.58292,12.825808
"1000270 - Temple 'D'",37.583687,12.825046
"1000271 - Temple 'E'",37.586716,12.834885
"1000272 - Temple 'F'",37.587337,12.834879
"1000273 - Temple 'G'",37.588314,12.834987
"1000274 - Sanctuary of Demeter Malophorus",37.586945,12.817137
"1000275 - Greek temple",40.473709,17.233036
"1000276 - Temple of Venus",41.944672,12.774768
"1000277 - Temple of Demeter",37.057495,14.89367
"1000278 - Sanctuary",38.211281,16.238371
"1000279 - Tavole Palatine",40.416199,16.816666
"1000280 - Temple 'A'",42.015289,11.963535
"1000281 - Temple 'B'",42.015129,11.963889
"1000282 - Sanctuary of Apollo",42.014652,11.964618
"1000283 - Temple of Venus Erycina",38.036556,12.583742
"1000284 - Talamonaccio",42.551804,11.169796
"1000285 - Cult Site",45.917473,10.817933
"1000286 - Temple of Clitumnus",42.842201,12.7569
"1000287 - Temple of Flora",41.305756,14.562722
"1000288 - Temple of the Dioscuri",40.85144,14.25683
"1000289 - Diana Tifatina",41.118294,14.260515
"1000290 - Temple",42.934608,12.609744
"1000291 - Temple Peltuinum",42.283485,13.623908
"1000292 - Casentino - Chiesa di Pieve a Socano",43.652519,11.787855
"1000293 - Large Temple",44.065861,10.01729
"1000294 - Sanctuary of the Lake of the Idols",43.866669,11.683333
"1000295 - Montemignaio",43.740524,11.621438
"1000296 - Temple of Athena",40.42453,15.005402
"1000297 - Temple of Diana",38.038563,14.02475
"1000298 - Large Temple",42.419655,11.62843
"1000299 - Temple of Hercules",42.418175,11.631992
"1000300 - Etrusco-Roman temple complex",43.808475,11.292941
"1000301 - Asclepieion",36.841862,15.105948
"1000302 - Temple of Jupiter",41.798317,12.704335
"1000303 - Megara Hyblaea",37.204262,15.175998
"1000304 - Temple",40.423512,15.006211
"1000305 - Temple of Peace",40.421938,15.005541
"1000306 - Agora sanctuary",37.430794,14.479367
"1000307 - Temple of Demeter and Kore",37.43034,14.479649
"1000308 - Citadel",37.437569,14.48876
"1000309 - Rock of Ceres",37.569225,14.289181
"1000310 - Templi Ferali",37.05713,14.895352
"1000311 - Kasmenai - Casmenae",37.076412,14.82563
"1000312 - Kasmenai - Casmenae",37.076519,14.826977
"1000313 - Temple of Hercules Antica",41.753826,12.286155
"1000314 - Serapeum",41.753315,12.283876
"1000315 - Temple of Ceres",41.756348,12.291035
"1000316 - Four Small Temples",41.755665,12.290623
"1000317 - Shrine of the Altar of the Twins",41.756107,12.29099
"1000318 - Jupiter Temple",41.755539,12.290882
"1000319 - Templum Mensores",41.753784,12.285011
"1000320 - Sanctuary of the Bona Dea",41.750599,12.285399
"1000321 - Templum Fabrum Navalium",41.752777,12.286075
"1000322 - Temple of Isis",41.772774,12.255305
"1000323 - Temple of Portumnus",41.780937,12.27154
"1000324 - Templum Rotundum",41.753544,12.28787
"1000325 - Temple of the Round Altar",41.753693,12.286317
"1000326 - Temple with portico",40.847906,14.057575
"1000327 - Masseria del Gigante",40.847826,14.058799
"1000328 - Sanctuary Alto da Vigia",38.824299,-9.47159
"1000329 - Temple at Mirobriga Celticorum",38.010284,-8.683709
"1000330 - Temple",38.572571,-7.907287
"1000331 - S. Miguel de Mota",38.64328,-7.44304
"1000332 - Calanta",38.76722,-8.03341
"1000333 - Cabeço de Fráguas",40.419579,-7.22432
"1000334 - Santuário da Ns. das Cabeças",40.339989,-7.41788
"1000335 - Sra. do Granja",40.05547,-7.25653
"1000336 - Santuário da Sra. do Almortão",39.907059,-7.17339
"1000337 - Santuário de S. Pedro de Almuro",38.997742,-7.48622
"1000338 - Roman Temple",41.929218,2.256823
"1000339 - Temple",37.884762,-4.77628
"1000340 - Temple of Diana - Emerita Augusta",38.91658,-6.34435
"1000341 - Temple",39.721661,-6.891493
"1000342 - Fortuna",38.209648,-1.11363
"1000343 - Cerro de los Santos",38.732769,-1.27022
"1000344 - Cancho Roano",38.701099,-5.68604
"1000345 - Los Cuadriales",38.432659,-6.59005
"1000346 - Santa Eulalia de Bóveda",42.979946,-7.685923
"1000347 - Temple of Serapis, Emporiae",42.133911,3.121315
"1000348 - Forum Temple, Emporiae",42.132835,3.117041
"1000349 - Temple columns",37.400253,-5.993706
"1000350 - Temple Noviodunum",48.26062,-0.498666
"1000351 - Nymphaeum Aquae Segetae",48.115402,2.622707
"1000352 - Temple",46.496559,-0.024869
"1000353 - Maison Carrée",43.838333,4.356111
"1000354 - Temple in Glanum",43.773125,4.832713
"1000355 - Tasciaca",47.324047,1.299076
"1000356 - Roman Temple",44.135654,4.807766
"1000357 - Temple of Mercury, Lutetia",48.843395,2.327117
"1000358 - Temple 'le Palais'",44.561203,4.600079
"1000359 - Temple of Augustus and Livia",45.525478,4.874246
"1000360 - Temple of the Cybele",45.524319,4.875925
"1000361 - Temple of Diana",49.103539,7.52761
"1000362 - Temple of Diana",43.839947,4.348574
"1000363 - Gisacum",49.003063,1.235978
"1000364 - Temple of Mercury",48.960583,7.616738
"1000365 - Sanctuary",46.423141,5.742032
"1000366 - Sanctuary",46.76136,5.922335
"1000367 - Sanctuary (Flaviers - Mouzon)",49.580894,5.105447
"1000368 - Temple Isarnodurum",46.2234,5.558579
"1000369 - Temple Novioregum",45.535629,-0.879376
"1000370 - Roman temple",43.681892,5.197178
"1000371 - Temple of Apollo",43.817055,6.088223
"1000372 - Forum Temple Lugdunum Convenarum",43.029804,0.573152
"1000373 - Briga",50.021584,1.462042
"1000374 - Temple complex Petromantalum",49.120399,1.771297
"1000375 - Temple of Mars",48.472012,-2.146052
"1000376 - Temple of Janus",46.96125,4.288465
"1000377 - Sanctuary",48.593163,3.109161
"1000378 - Tempel Cherre'",47.660496,0.235538
"1000379 - Tempeln Argentomagus",46.599777,1.51518
"1000380 - Tour de Vesone",45.179405,0.714345
"1000381 - Temple",47.658772,6.866085
