ID	Count
1	0
2	0
3	1
4	0
5	38
6	0
7	0
8	2
9	0
10	0
11	812
12	1092
13	50
14	1078
15	194
16	771
17	22
18	981
19	9
20	6
21	72
22	0
23	0
24	177
25	0
26	0
27	0
28	0
29	0
30	0
31	799
32	111
33	1
34	585
35	227
36	0
37	0
38	0
39	0
40	1
41	144
42	0
43	1
44	1
45	0
46	218
47	216
48	0
49	52
50	161
51	341
52	88
53	323
54	125
55	58
56	3
57	352
58	38
59	161
60	348
61	803
62	0
63	280
64	38
65	11
66	98
67	9
68	2
69	33
70	26
71	28
72	14
73	0
74	11
75	0
76	6
77	1
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	14
99	2
100	0
101	0
102	0
103	0
104	0
105	1
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	1
123	53
124	1
125	0
126	0
127	0
128	6

