"name","id","dedicatee","type","location","city","country","orientation","date","startdateearly","startdatelate","century","sex","dedicationday","deitytype","extant","source","meetings","note","vici.org","pleiades","dare","arachne","wikipedia","wikidata","longitude","latitude"
"Isis at via Labicana","1000040","Isis","temple","","Rome","Italy","","","","","","F","","god","","","","Pleiades","19353","","","","","Q16612725",12.501237,41.890049
"Isis/Serapis","1000041","Isis/Serapis","temple","Campus Martius","Rome","Italy","","","","","","F","","god","","Blake","","Pleiades","17963","","","","","Q2288275",12.479167,41.897221
"Janus","1000042","Janus","temple","Forum Holitorium","Rome","Italy","71","-260","-260","","-3","M","17","god","","","","","","","","10761","","",12.479947,41.891289
"Juno Curritis","1000043","Juno","temple","Campus Martius","Rome","Italy","","-292-219","-292","-219","-3","F","","god","","Ziolkowski","","","","","","","","",12.476906,41.894862
"Juno Lucina","1000044","Juno","temple","Esquiline Hill","Rome","Italy","","-375","-375","","-4","F","1","god","","Ziolkowski","","","","","","","","","",""
"Juno Moneta","1000045","Juno","temple","Capitoline Hill","Rome","Italy","","-344","-344","","-4","F","1","god","","","","","","","","3910432","","",12.483497,41.894009
"Juno Regina","1000046","Juno","temple","Aventine Hill","Rome","Italy","","-392","-392","","-4","F","","god","","Ziolkowski","","","","","","","","",12.47972,41.88444
"Juno Regina","1000047","Juno","temple","Circus Flaminius","Rome","Italy","208","-179","-179","","-2","F","23","god","","","","","","","","3467454","","",12.478602,41.893141
"Juno Sospita","1000048","Juno","temple","Forum Holitorium","Rome","Italy","71","-197-194","-197","-194","-2","F","1","god","","","","","","","","","","",12.479937,41.891093
"Jupiter","1000049","Jupiter","temple","","Rome","Italy","","","","","","M","","god","","","","DARE","","","37156","","","",12.536854,41.840026
"Jupiter","1000050","Jupiter","temple","","Jerusalem","Israel","","130","130","","2","M","","god","","","","","","","","","","",35.235806,31.777972
"Jupiter","1000051","Jupiter","temple","","Damascus","Syria","","14","14","","1","M","","god","","","","","","","","","","",36.300833,33.510833
"Jupiter","1000052","Jupiter","temple","","Yarbrud","Syria","","","","","","M","","god","","","","","","","","","","",36.666667,33.966667
"Jupiter","1000053","Jupiter","temple","","Baalbek","Lebanon","","135","135","","2","M","","god","","","","","","","","","","",36.204425,34.006839
"Jupiter Anxur","1000054","Jupiter","temple","","Terracina","Italy","","","","","","M","","god","","","","Coord from Google maps","","433143","","","","",13.260113,41.290817
"Jupiter Conservator","1000055","Jupiter","temple","Capitoline Hill","Rome","Italy","","","","","","M","","god","","Stamper","","","","","","","","","",""
"Jupiter Custos","1000056","Jupiter","temple","Capitoline Hill","Rome","Italy","","","","","","M","","god","","","","","","","","","","",12.481892,41.891825
"Jupiter Dolichenus","1000057","Jupiter","temple","Aventine Hill","Rome","Italy","","","","","","M","","god","","Blake","","Location from Arachne","","","","6074","","",12.4804,41.88319
"Jupiter Feretrius","1000058","Jupiter","temple","Capitoline Hill","Rome","Italy","","-752-751","-752","-751","-8","M","","god","","","","","","","","","","","",""
"Jupiter Heliopolitanus","1000059","Jupiter","temple","Janiculum","Rome","Italy","","Late 1st Century CE","75","100","1","M","29","god","","Blake","","","","","","","","","",""
"Jupiter Invictus","1000060","Jupiter","temple","Palatine Hill","Rome","Italy","","-180-167","-180","-167","-2","M","","god","","Ziolkowski","","","","","","","","","",""
"Jupiter Libertas","1000061","Jupiter","temple","Aventine Hill","Rome","Italy","","-246","-246","","-3","M","13","god","","Ziolkowski","","","","","","","","","",""
"Jupiter Capitolinus/Optimus Maximus","1000062","Jupiter","temple","Capitoline Hill","Rome","Italy","","-509","-509","","-6","M","13","god","","Blake","senate","","17971","871801169","","3910430","","Q586468",12.481667,41.892222
