id,name,dedicatee,type,location,modernplace,ancientplace,pleiadesplace,country,latitude,longitude,orientation,compass,vowed,date,startdateearly,startdatelate,century,enddate,preceded,succeeded,sex,dedicationday,deitytype,culture,style,extant,source,meetings,note,vici,pleiades,dare,arachne,livius,wikipedia,wikidata,digitalromanforum,digitalesforumromanum,trismegistos,ads,cona,topostext,url,checked,gs
"1000110",Temple of Saturn,Saturn,temple,Forum,Rome,Rome,"423025",IT,41.892468,12.484181,"32",NE,,"-498","-498",,"-5",,,,M,December 17,god,Roman,,,,,Pleiades,"15012",,,"5644",,Temple_of_Saturn,Q746721,,saturntempel,,,,419125SSat,,,
"1000111",Temple of Sol,Sol,temple,Campus Agrippae,Rome,Rome,"423025",IT,,,,,,"273","273",,"3",,,,M,,nature,Roman,,,,,,,,,,,,,,,,,,,,,
"1000112",Temple of Sol and Luna,"Sol, Luna",temple,Circus Maximus,Rome,Rome,"423025",IT,,,,,,-292-219,"-292","-219","-3",,,,M/F,August 28,nature,Roman,,,,,,,,,,,,,,,,,,,,,
"1000113",Temple of Spes,Spes,temple,Forum Holitorium,Rome,Rome,"423025",IT,41.890962,12.480052,"71",E,"-258-257, -254, -249",-258-249,"-258","-249","-3",,,,F,August 1,concept,Roman,,,,,,,,,"10760",,,,,,,,,419125SSpe,,,
"1000114",Temple of Summanus,Summanus,temple,Circus Maximus,Rome,Rome,"423025",IT,,,,,,-278-275,"-278","-275","-3",,,,M,June 20,god,Roman,,,,,,,,,,,,,,,,,,,,,
"1000115",Temple of Sybil,Sybil,temple,,Tivoli,Tibur,"423081",IT,41.966809,12.800843,,,,-150-125,"-150","-125","-2",,,,F,,god,Roman,,,Stamper,,Vici.org,,,,,,,,,,,,,,,,
"1000116",Temple of Tellus,Tellus,temple,Esquiline Hill,Rome,Rome,"423025",IT,,,,,"-268",-268-219,"-268","-219","-3",,,,F,December 13,nature,Roman,,,,senate,,,,,,,Temple_of_Tellus,Q16612739,,,,,,419125STel,,,
"1000117",Temple of the Tempestates,Tempestates,temple,extra Portam Capenam,Rome,Rome,"423025",IT,,,,,"-259",-259-240,"-259","-240","-3",,,,F,December 23,nature,Roman,,,,,,,,,,,,,,,,,,,,,
"1000118",Temple,,temple,Campus Martius,"S. Salvatore in Campo, Rome",Rome,"423025",IT,41.893685,12.474003,"121",SE,,,,,,,,,M,,,Roman,,,,,,,,,"3467479",,,,,,,,,,,,
"1000119",Temple of Tiberinus,Tiberinus,temple,Tiber Island,Rome,Rome,"423025",IT,,,,,,-292-219,"-292","-219","-3",,,,M,December 8,nature,Roman,,,,,,,,,,,,,,,,,,,,,
"1000120",Tomb of Cecilia Metella,,tomb,Via Appia,Rome,Rome,"423025",IT,41.852196,12.520981,,,,,,,,,,,F,,,Roman,,,,,"Pleiades; vici.org",,"423064",,,,,,,,,,,,,,
"1000121",Temple of Veiovis,Veiovis,temple,Inter duos lucos,Rome,Rome,"423025",IT,41.892776,12.483611,"220",SW,,,,,,,,,M,March 7,god,Roman,,,,,Pleiades,"17964",,,"1319962",,,Q764141,,,,,,,,,
"1000122",Temple of Venus and Roma,"Venus, Rome",temple,,Rome,Rome,"423025",IT,41.890812,12.490168,"113",SE,,140-145,"140","145","2",,,,F,,"god, city",Roman,,,,,Pleiades,"15008",,,"7481",,Temple_of_Venus_and_Roma,Q430792,,,,,,419125SVeR,,,
"1000123",Temple of Venus Genetrix,Venus,temple,Forum of Julius,Rome,Rome,"423025",IT,41.8942,12.4848,"130",SE,,"-46","-46",,"-1",,,,F,September 26,god,Roman,,,Blake,,Pleiades,,,,"5656",,Temple_of_Venus_Genetrix,Q2459870,,,,,,419125SVeG,,,
"1000124",Temple of Venus Obsequens,Venus,temple,Circus Maximus,Rome,Rome,"423025",IT,,,,,"-295","-290","-290",,"-3",,,,F,August 19,god,Roman,,,,,,,,,,,,,,,,,,,,,
"1000125",Temple of Venus Victrix,Venus,temple,Campus Martius,Rome,Rome,"423025",IT,41.895335,12.473014,"90",E,,"-55","-55",,"-1",,,,F,,god,Roman,,yes,Stamper,senate,"Pleiades; coords modified",,,,,,,,,,,,,,,,
"1000126",Temple of the Divine Vespasian and the Divine Titus,"Vespasian, Titus",temple,Forum,Rome,Rome,"423025",IT,41.892876,12.484081,"119",SE,,,,,,,,,M,,emperor,Roman,,,,,Pleiades,"15042",,,"5643",,,Q731284,,,,,,,,,
"1000127",Temple of Vesta,Vesta,temple,Forum,Rome,Rome,"423025",IT,41.891792,12.486141,"35",NE,,"-575","-575",,"-6",,,,F,,god,Roman,,,Stamper,,Pleiades,"15010",,,"8407",,Temple_of_Vesta,,,,,,,419125SVes,,,
"1000128",Temple of Vesta,Vesta,temple,,Tivoli,Tibur,"423081",IT,41.9667,12.8009,"190",S,,early 1st c. BCE,"-99","-75","-1",,,,F,,god,Roman,,,,,Pleiades,"4381",,,"11457",,"Temple_of_Vesta,_Tivoli",Q1219688,,,,,,,,,
"1000129",Temple of Vica Pota,Vica Pota,temple,Velian Hill,Rome,Rome,"423025",IT,,,,,,-292-219,"-292","-219","-3",,,,F,January 9,god,Roman,,,,,,,,,,,,,,,,,,,,,
"1000130",Temple of Victory,Victoria,temple,Palatine Hill,Rome,Rome,"423025",IT,41.889418,12.48521,"219",SW,"-305","-294","-294",,"-3",,,,F,August 1,concept,Roman,,,Stamper,,Pleiades,,,,,,Temple_of_Victory,Q1517031,,,,,,419125SViT,,,
"1000131",Temple of Volcanus,Volcanus,temple,Campus Martius,Rome,Rome,"423025",IT,,,,,,-292-219,"-292","-219","-3",,,,M,August 23,god,Roman,,,,,,,,,,,,,,,,,,,,,
"1000132",Temple of Vortumnus,Vortumnus,temple,Aventine Hill,Rome,Rome,"423025",IT,,,,,"-264",-264-219,"-264","-219","-3",,,,M,August 13,god,Roman,,,,,,,,,,,,,,,,,,,,,
"1000133",Temple of Moneta,Moneta,temple,,Monte Cavo,Alban Mount,"422826",IT,,,,,,"-168","-168",,"-2",,,,F,June 1,god,Roman,,,,,,,,,,,,,,,,,,,,,
"1000134",Temple of Janus Quadrifons,Janus,temple,Forum Transitorium,Rome,Rome,"423025",IT,,,,,,81-96,"81",,"1",,,,M,,god,Roman,,,,,,,,,,,,,,,,,,,,,
"1000135",Temple of Veiovis,Veiovis,temple,Tiber Island,Rome,Rome,"423025",IT,,,,,,,,,,,,,M,,god,Roman,,,,,,,,,,,,,,,,,,,,,
"1000136",Temple of Aesculapius,Aesculapius,temple,Esquiline,Rome,Rome,"423025",IT,,,,,,,,,,,,,M,,hero,Roman,,no,,,,,,,,,,,,,,,,,,,
"1000137",Capitolium,"Jupiter, Juno, Minerva",temple,,Ansedonia,Cosa,"413107",IT,42.410911,11.286364,"68",E,,,,,,,,,M/F,,god,Roman,,yes,,,,,,,,,,,,,,,,,,,
"1000138",Capitolium,"Jupiter, Juno, Minerva",temple,,Cuma,Cumae,"432808",IT,40.848488,14.057007,"105",E,,"26",,,,,,,M/F,,god,Roman,,yes,,,,"14783",,,,,,,,,,,,,,,
"1000139",Capitolium,"Jupiter, Juno, Minerva",temple,,Verona,Verona,"383816",IT,45.443872,10.996195,"144",SE,,,,,,,,,M/F,,god,Roman,,,,,,,,,,,,,,,,,,,,,
"1000140",Capitolium,"Jupiter, Juno, Minerva",temple,,Sopron,Scarbantia,"197501",HU,47.68489,16.58305,"208",SW,,,,,,,,,M/F,,god,Roman,,,,,,,,,,,,,,,,,,,,,
"1000141",Capitolium,"Jupiter, Juno, Minerva",temple,,Istanbul,Constantinople,"520998",TR,41.013342,28.956067,,,,"330","330",,,,,,M/F,,god,Roman,,no,,,,,,,,,,,,,,,,,,,
"1000142",Temple of Augustus,"Augustus, Rome",temple,,Pula,Pola,"197448",HR,44.870213,13.841842,"156",SE,,,"-2","14","1",,,,M/F,,"emperor, city",Roman,,yes,,,,,"391553443",,,,"Temple_of_Augustus,_Pula",Q770030,,,,,,,,,
"1000143",Temple of Augustus,,temple,,Barcelona,Colonia Barcino,"246343",ES,41.383351,2.177103,"314",NW,,1st c. BCE,,,"-1",,,,M,,emperor,Roman,,yes,,,,,"592223249",,,,"Temple_of_Augustus,_Barcelona",Q3819019,,,,,,,,,
"1000144",Temple of Augustus,Augustus,temple,,Pozzuoli,Puteoli,"432815",IT,40.821276,14.120447,"178",S,,,,,"1",,,,M,,emperor,Roman,,yes,,,,,"390040629",,,,,,,,,,,,,,
"1000145",Capitolium,"Jupiter, Juno, Minerva",temple,,Dahmani,Althiburos,"324664",TN,35.873886,8.785101,"43",NE,,,,,,,,,M/F,,god,Roman,,yes,,,,,,,,,,,,,,,,,,,
"1000146",Unknown,,temple,,Dahmani,Althiburos,"324664",TN,35.874468,8.785616,"224",SW,,,,,,,,,,,,Roman,,yes,,,,,,,,,,,,,,,,,,,
"1000147",Temple of Minerva,Minerva,temple,,Tebessa,Theveste,"324831",DZ,35.404638,8.122492,"121",SE,,,,,,,,,F,,god,Roman,,yes,,,,,,,,,,,,,,,,,,,
"1000148",Temple A,"Apollo, Artemis, Aphrodite",temple,,Goncalı,Laodicea on the Lycus,"638955",TR,37.836269,29.109676,"27",NE,,2nd c. CE,,,"2",,,,M/F,,god,Roman,,yes,,,,"18182",,,,,,,,,,,,,,,
"1000149",Temple of Trajan,Trajan,temple,,Bergama,Pergamum,"550812",TR,39.132812,27.183256,"201",S,,2nd c. CE,,,"2",,,,M,,emperor,Roman,,yes,,,,,,,,,,,,,,,,,,,
"1000150",Temple of Dionysus,Dionysus,temple,,Bergama,Pergamum,"550812",TR,39.132283,27.182573,"166",S,,early 3rd c. CE,,,"3",,,,M,,god,Roman,,yes,,,,,,,,,,,,,,,,,,,
"1000151",Temple of Consus,Consus,temple,Aventine,Rome,Rome,"423025",IT,,,,,"-272","-272","-272","-218","-3",,,,M,December 12,god,Roman,,no,Ziolkowski,,,,,,,,,,,,,,,,,,
"1000152",Temple of Hercules,Hercules,temple,ad portam collinam,Rome,Rome,"423025",IT,,,,,,,,"-211",,,,,M,,hero,Roman,,no,Ziolkowski,,,,,,,,,,,,,,,,,,
"1000153",Temple of Honos,Honor,temple,extra portam collinam,Rome,Rome,"423025",IT,41.906487,12.498676,,,,-292-219,"-292","-219","-3",,,,M,,concept,Roman,,no,Ziolkowski,,,,,,,,,,,,,,,,,,
"1000154",Temple of Honos,Honor,temple,ad Portam Capenam,Rome,Rome,"423025",IT,,,,,"-233",-232-209,"-232","-209","-3","-205","1000038",,F,July 17,concept,Roman,,no,Ziolkowski,,,,,,,,,,,,,,,,,,
"1000155",Portonaccio Temple,Apollo,temple,,Veio,Veii,"423116",IT,42.021223,12.390661,"97",E,,"-510",,,"-6",,,,M,,god,Etruscan,,yes,,,,"23458",,,,,,,,,,,,420124SPoA,,,
"1000156",Temple,,temple,,Great Chesterford,,"79488",UK,52.07048,0.208052084,,,,,"1",,"1","350",,,,,,Romano-Celtic,,,The Rural Settlement of Roman Britain,,,,,,,,,,,,,"1002",,,,,
"1000157",Temple,,temple,,Harlow,,,UK,51.790161,0.127094,"115",SE,,last quarter 1st c. CE,"76","100","1",late 4th c. CE,,,,,,Romano-Celtic,,,The Rural Settlement of Roman Britain,,,,"79502",,,,,,,,,"1045",,,https://www.pastscape.org.uk/hob.aspx?hob_id=370088,yes,
"1000158",Temple,,temple,,Gosbecks,,"79486",UK,51.86582,0.856901856,,,,,,,,,,,,,,Romano-Celtic,,,The Rural Settlement of Roman Britain,,,,,,,,,,,,,"1106",,,http://www.pastscape.org.uk/hob.aspx?hob_id=384017,yes,
"1000159",Temple,,temple,,Stonea Grange,,"79696",UK,52.52174,0.134535711,,,,,,,,,,,,,,Romano-Celtic,,,The Rural Settlement of Roman Britain,,,,,,,,,,,,,"2042",,,,,
"1000160",Temple,,temple,,"Waste Management Park, Waterbeach, Cambridge",,,UK,52.2972,0.1791583,,,,,,,,,,,,,,Romano-Celtic,,,The Rural Settlement of Roman Britain,,,,,,,,,,,,,"2068",,,,,
"1000161",Temple,,temple,,Baldock,,"79311",UK,51.99054,-0.184278987,,,,,,,,,,,,,,Romano-Celtic,,,The Rural Settlement of Roman Britain,,,,,,,,,,,,,"3012",,,,,
"1000162",Temple,,temple,,Wood End Lane/Buncefield Lane,,,UK,51.7593,-0.433190999,,,,,,,,,,,,,,Romano-Celtic,,,The Rural Settlement of Roman Britain,,,,,,,,,,,,,"3031",,,,,
"1000163",Temple,,temple,,"Friars Wash, Redbourn",,,UK,51.81901,-0.404061466,,,,,,,,,,,,,,Romano-Celtic,,,The Rural Settlement of Roman Britain,,,,,,,,,,,,,"3073",,,,,
"1000164",Temple,,temple,,Caistor St. Edmund,Venta,"79735",UK,52.58692,1.304821414,,,,,,,,,,,,,,Romano-Celtic,,,The Rural Settlement of Roman Britain,,,,,,,,,,,,,"4023",,,,,
"1000165",Temple,,temple,A143 Scole-Stuston Bypass,Scole,Villa Faustini,"79675",UK,52.36266,1.159824025,,,,,,,,,,,,,,Romano-Celtic,,,The Rural Settlement of Roman Britain,,,,,,,,,,,,,"4031",,,https://www.pastscape.org.uk/hob.aspx?hob_id=389015,yes,
"1000166",Temple,,temple,,"Crownthorpe, Wicklewood",,,UK,52.58352,1.080879369,,,,,,,,,,,,,,Romano-Celtic,,,The Rural Settlement of Roman Britain,,,,,,,,,,,,,"4083",,,,,
"1000167",Temple,,temple,,Lancing Down,,,UK,50.84807,-0.328010681,,,,,,,,,,,,,,Romano-Celtic,,,The Rural Settlement of Roman Britain,,,,,,,,,,,,,"7006",,,,,
"1000168",Temple,,temple,,Greenwich Park,,,UK,51.48127,0.001558654,,,,,,,,,,,,,,Romano-Celtic,,,The Rural Settlement of Roman Britain,,,,,,,,,,,,,"8036",,,,,
"1000169",Temple-Mausoleum,,temple,,Lullingstone,,"79582",UK,51.36418,0.196533335,,,,,,,,,,,,,,Romano-Celtic,,,The Rural Settlement of Roman Britain,,,,,,,,,,,,,"9013",,,,,
"1000170",Temple,,temple,,"Castle Field, Worth",,,UK,51.25017,1.3458945,,,,,,,,,,,,,,Romano-Celtic,,,The Rural Settlement of Roman Britain,,,,,,,,,,,,,"9015",,,,,
"1000171",Temple-Mausoleum,,temple,,Keston,,"79544",UK,51.3505,0.028999999,,,,,,,,,,,,,,Romano-Celtic,,,The Rural Settlement of Roman Britain,,,,,,,,,,,,,"9016",,,,,
"1000172",Sanctuary complex,,temple,,Springhead,Vagniacis,"79729",UK,51.43066,0.32613761,,,,,,,,,,,,,,Romano-Celtic,,,The Rural Settlement of Roman Britain,,,,,,,,,,,,,"9020",,,,,
"1000173",Roadside settlement,,temple,,Springhead,,,UK,51.4307,0.323981736,,,,,,,,,,,,,,Romano-Celtic,,,The Rural Settlement of Roman Britain,,,,,,,,,,,,,"9021",,,,,
"1000174",Temple,,temple,,Thurnham,,,UK,51.2847,0.579052952,,,,,,,,,,,,,,Romano-Celtic,,,The Rural Settlement of Roman Britain,,,,,,,,,,,,,"9069",,,,,
"1000175",Temples,,temple,,Richborough,Rutupiae,"79664",UK,51.28995,1.329420998,,,,,,,,,,,,,,Romano-Celtic,,,The Rural Settlement of Roman Britain,,,,,,,,,,,,,"9106",,,,,
"1000176",Temple,,temple,,"Boxted, Upchurch",,,UK,51.36451,0.658099701,,,,,,,,,,,,,,Romano-Celtic,,,The Rural Settlement of Roman Britain,,,,,,,,,,,,,"9126",,,,,
"1000177",Temple and temenos,,temple,,Farley Heath,,,UK,51.193714,-0.496281,"13",N,,,,,,,,,,,,Romano-Celtic,,,The Rural Settlement of Roman Britain,,,,"79459",,,,,,,,,"10005",,,,,
"1000178",Roman Temple,,temple,,Wanborough,,,UK,51.23794,-0.683091189,,,,,,,,,,,,,,Romano-Celtic,,,The Rural Settlement of Roman Britain,,,,"79746",,,,,,,,,"10027",,,https://www.pastscape.org.uk/hob.aspx?hob_id=250569,yes,
"1000179",Temple,,temple,,"Church Field, Titsey",,,UK,51.27624,0.035920719,,,,,,,,,,,,,,Romano-Celtic,,,The Rural Settlement of Roman Britain,,,,,,,,,,,,,"10035",,,,,
"1000180",Temple,,temple,,Chanctonbury Ring,,,UK,50.89682,-0.381227592,,,,,,,,,,,,,,Romano-Celtic,,,The Rural Settlement of Roman Britain,,,,,,,,,,,,,"11012",,,,,
"1000181",Temple,,temple,Broadbridge,Bosham,,"110448342",UK,50.83983,-0.852303555,,,,,,,,,,,,,,Romano-Celtic,,,The Rural Settlement of Roman Britain,,,,,,,,,,,,,"11023",,,,,
"1000182",Temple,,temple,,"Ratham Mill, Funtington",,,UK,50.85183,-0.852122691,,,,,,,,,,,,,,Romano-Celtic,,,The Rural Settlement of Roman Britain,,,,,,,,,,,,,"11062",,,,,
"1000183",Octagonal Temple,,temple,,Weycock Hill,,,UK,51.49287,-0.817942,,,,,,,,,,,,,,Romano-Celtic,,,The Rural Settlement of Roman Britain,,,,"79755",,,,,,,,,"12055",,,https://www.pastscape.org.uk/hob.aspx?hob_id=248004,yes,
"1000184",Temple-Mausoleum,,temple,Roman villa,Bancroft,,"79312",UK,52.05657,-0.797733369,,,,,,,,,,,,,,Romano-Celtic,,,The Rural Settlement of Roman Britain,,,,,,,,,,,,,"13002",,,,yes,
"1000185",Temple,,temple,,Bourton Grounds,,,UK,51.99158,-0.939216473,,,,,,,,,,,,,,Romano-Celtic,,,The Rural Settlement of Roman Britain,,,,,,,,,,,,,"13039",,,,,
"1000186",Temple,,temple,,Chedworth,,"79383",UK,51.81811,-1.91261855,,,,,,,,,,,,,,Romano-Celtic,,,The Rural Settlement of Roman Britain,,,,,,,,,,,,,"14072",,,https://www.pastscape.org.uk/hob.aspx?hob_id=327595,yes,
"1000187",Temple,,temple,,Lydney Park,,"79583",UK,51.720922,-2.558005,"138",SE,,,,,,,,,,,,Romano-Celtic,,,The Rural Settlement of Roman Britain,,,,,,,,,,,,,"14074",,,,yes,
"1000188",Temple,,temple,,Uley,,,UK,51.69565,-2.306678281,,,,,,,,,,,,,,Romano-Celtic,,,The Rural Settlement of Roman Britain,,,,"79726",,,,,,,,,"14103",,,https://www.pastscape.org.uk/hob.aspx?hob_id=205240,yes,
"1000189",Temple,,temple,,Hayling Island,,"79504",UK,50.82193,-0.972536725,,,,,,,,,,,,,,Romano-Celtic,,,The Rural Settlement of Roman Britain,,,,"79504",,,,,,,,,"15044",,,https://www.pastscape.org.uk/hob.aspx?hob_id=242295,yes,
"1000190",Temple,,temple,,Sansom's Platt,,,UK,51.86778,-1.343901034,,,,,,,,,,,,,,Romano-Celtic,,,The Rural Settlement of Roman Britain,,,,,,,,,,,,,"16063",,,,,
"1000191",Temple,,temple,,Woodeaton,,,UK,51.80893,-1.223670327,,,,,,,,,,,,,,Romano-Celtic,,,The Rural Settlement of Roman Britain,,,,"79769",,,,,,,,,"16093",,,,yes,
"1000192",Temple,,temple,,Marcham/Frilford,,"79470",UK,51.6633,-1.366780827,,,,later 1st c. CE,"51","100","1",early 5th c. CE,,,,,,Romano-Celtic,,,The Rural Settlement of Roman Britain,,,,,,,,,,,,,"16099",,,https://www.pastscape.org.uk/hob.aspx?hob_id=234025,yes,
"1000193",Temple of Apollo Cunomaglos,Apollo Cunomaglos,temple,,Nettleton,,,UK,51.49076,-2.257769643,,,,mid/late 2nd c CE,"151","400","2",late 4th c. CE,,,M,,,Romano-Celtic,,,The Rural Settlement of Roman Britain,,,,"79609",,,,,,,,,"17001",,,http://www.pastscape.org.uk/hob.aspx?hob_id=208294,yes,
"1000194",Temple,,temple,,Badbury,Vindocladia,"79740",UK,50.82652,-2.057591749,,,,,,,,,,,,,,Romano-Celtic,,,The Rural Settlement of Roman Britain,,,,,,,,,,,,,"20014",,,http://www.pastscape.org.uk/hob.aspx?hob_id=209560,yes,
"1000195",Temple,,temple,,Maiden Castle,,"82240559",UK,50.69488,-2.46999813,,,,4th c. CE,"301","400","4",,,,,,,Romano-Celtic,,,The Rural Settlement of Roman Britain,,,,,,,,,,,,,"20035",,,,,
"1000196",Temple,,temple,,Poundbury,,,UK,50.71896,-2.451285648,,,,,,,,,,,,,,Romano-Celtic,,,The Rural Settlement of Roman Britain,,,,,,,,,,,,,"20060",,,,,
"1000197",Temple,,temple,,Jordan Hill,,,UK,50.63755,-2.427115997,"179",S,,,"69","79","1",4th c. CE,,,,,,Romano-Celtic,,,The Rural Settlement of Roman Britain,,,,"79540",,,,Jordan_Hill_Roman_Temple,Q6276614,,,,"20079",,,,yes,
"1000198",Temple,,temple,,Brean Down,,,UK,51.32421,-3.015511638,,,,4th c. CE,"340",,"4",late 4th c. CE,,,,,,Romano-Celtic,,,The Rural Settlement of Roman Britain,,,,"79351",,,,,,,,,"21004",,,http://www.pastscape.org.uk/hob.aspx?hob_id=191317,yes,
"1000199",Temple,,temple,,Henley Wood,,,UK,51.3831,-2.801914168,,,,4th c. CE,"301","400","4",late 4th c. CE,,,,,,Romano-Celtic,,,The Rural Settlement of Roman Britain,,,,"79507",,,,,,,,,"21047",,,,yes,
"1000200",Temple,,temple,Pagans Hill,Chew Stoke,,,UK,51.36073,-2.637358019,,,,,,,,,,,,,,Romano-Celtic,,,The Rural Settlement of Roman Britain,,,,,,,,Pagans_Hill_Roman_temple,,,,,"21106",,,,,
"1000201",Temple,,temple,,Lamyatt Beacon,,"79554",UK,51.12394,-2.473626892,,,,,,,,,,,,,,Romano-Celtic,,,The Rural Settlement of Roman Britain,,,,,,,,,,,,,"21127",,,https://www.pastscape.org.uk/hob.aspx?hob_id=199898,yes,
"1000202",Temple,,temple,,"Redhill, Ratcliffe on Soar",,,UK,52.86942,-1.269562233,,,,,,,,,,,,,,Romano-Celtic,,,The Rural Settlement of Roman Britain,,,,,,,,,,,,,"25035",,,,,
"1000203",Villa temple,,temple,,Cosgrove,,"79404",UK,52.07176,-0.841971487,,,,late 2nd c.,"167",,"2",5th c. CE,,,,,,Romano-Celtic,,,The Rural Settlement of Roman Britain,,,,,,,,,,,,,"26043",,,,,
"1000204",Religious complex/town,,temple,,Thistleton,,"79712",UK,52.74453,-0.65474716,,,,,,,,,,,,,,Romano-Celtic,,,The Rural Settlement of Roman Britain,,,,,,,,,,,,,"27005",,,,,
"1000205",Temple,,temple,Grimstock Hill,Coleshill,,,UK,52.51183,-1.714308514,,,,,"120",,"2",4th c. CE,,,,,,Romano-Celtic,,,The Rural Settlement of Roman Britain,,,,"79397",,,,,,,,,"32006",,,,,
"1000206",Temples,,temple,,Maryport,Alauna,"89097",UK,54.72287,-3.489841344,,,,,,,,,,,,,,Romano-Celtic,,,The Rural Settlement of Roman Britain,,,,,,,,,,,,,"41043",,,,,
"1000207",Temple,,temple,,Great Bulmore,,"972561590",UK,51.61875,-2.927248119,,,,,,,,,,,,,,Romano-Celtic,,,The Rural Settlement of Roman Britain,,,,,,,,,,,,,"43021",,,,,
"1000208",Temple,,temple,,Caersws,,"79363",UK,52.5169,-3.428691514,,,,,,,,,,,,,,Romano-Celtic,,,The Rural Settlement of Roman Britain,,,,,,,,,,,,,"45019",,,,yes,
"1000209",Temple of Saturn,Saturn,temple,,Dougga,Thugga,"315223",TN,36.42555,9.22063,"109",E,,,,,,,,,M,,god,Roman,,,,,,"11588",,,,,,,,,,,,,,,
"1000210",Temple of Saturn,Saturn,temple,,El Fahs,Thuburbo Majus,"315220",TN,36.400753,9.907412,"132",SE,,,,,,,,,M,,god,Roman,,,,,,"31251",,,,,,,,,,,,,,,
"1000211",Temple of Saturn,Saturn,temple,,Tiddis,Tiddis,"305167",DZ,36.463333,6.483889,"75",E,,,,,,,,,M,,god,Roman,,,,,,,,,,,,,,,,,,,,,
"1000212",Temple of Hercules,Hercules,temple,,Amman,Philadelphia,"697728",JO,31.9538,35.9349,"76",E,,,"162",,"2","166",,,M,,hero,Roman,,,Wikipedia,,,,,,,,Temple_of_Hercules_(Amman),,,,,,,,,,
"1000213",Temple of Herakles,Hercules,temple,,Agrigento,Akragas,"462086",IT,37.290252,13.586221,"89",E,,,,,"-6",,,,M,,hero,Greek,,Yes,Wikipedia,,,,,,,,"Temple_of_Heracles,_Agrigento",,,,,,,,,,
"1000214",Temple of Hera Lakinia,Juno,temple,,Agrigento,Akragas,"462086",IT,37.288662,13.600197,"82",E,,ca. 450 BCE,,,"-5",,,,F,,god,Greek,,Yes,Wikipedia,,,,,,,,"Temple_of_Juno,_Agrigento",,,,,,,,,,
"1000215",Temple of Concord,,temple,,Agrigento,Akragas,"462086",IT,37.289747,13.592005,"89",E,,ca. 440-430 BCE,,,"-5",,,,,,concept,Greek,,Yes,Wikipedia,,,,,,,,"Temple_of_Concordia,_Agrigento",,,,,,,,,,
"1000216",Temple of Asclepius,,temple,,Agrigento,Akragas,"462086",IT,37.282531,13.589582,"89",E,,late 5th c. BCE,,,"-5",,,,,,hero,Greek,,Yes,Wikipedia,,,,,,,,Valle_dei_Templi,,,,,,,,,,
"1000217",Temple of Olympian Zeus,Jupiter,temple,,Agrigento,Akragas,"462086",IT,37.290982,13.584423,"77",E,,5th c. BCE,,,"-5",,,,M,,god,Greek,,Yes,Wikipedia,,,,,,,,"Temple_of_Olympian_Zeus,_Agrigento",,,,,,,,,,
"1000218",Temple of Hephaistos,Vulcan,temple,,Agrigento,Akragas,"462086",IT,37.292956,13.578769,"86",E,,ca. 430 BCE,,,"-6",,,,M,,god,Greek,,Yes,Wikipedia,,,,,,,,Valle_dei_Templi,,,,,,,,,,
"1000219",Sacellum,,temple,,Agrigento,Akragas,"462086",IT,37.292956,13.578769,"82",E,,ca. 530-520 BCE,,,"-7",,,,,,,Greek,,Yes,Wikipedia,,,,,,,,Valle_dei_Templi,,,,,,,,,,
"1000220",Temple of the Dioscuri,,temple,,Agrigento,Akragas,"462086",IT,37.291344,13.581507,"83",E,,mid-5th c. BCE,,,"-5",,,,,,hero,Greek,,Yes,Wikipedia,,,,,,,,Valle_dei_Templi,,,,,,,,,,
"1000221",Temple L,,temple,,Agrigento,Akragas,"462086",IT,37.291043,13.581401,"77",E,,late 5th c. BCE,,,"-5",,,,,,,Greek,,Yes,,,,,,,,,,,,,,,,,,,
"1000222",Temple of Demeter,,temple,,Agrigento,Akragas,"462086",IT,37.299241,13.603379,"123",SE,,ca. 480-470 BCE,,,"-5",,,,,,god,Greek,,Yes,,,,,,,,,,,,,,,,,,,
"1000223",Temple of Isis,,temple,,Agrigento,Akragas,"462086",IT,37.298272,13.589222,"167",S,,late 1st c. BCE,,,"-1",,,,,,god,Roman,,Yes,,,,,,,,,,,,,,,,,,,
"1000224",Temple of Poseidon,Neptune,temple,,Sounio,Sounion,"580107",GR,37.650153,24.024573,"103",E,,444-440 BCE,,,"-5",,,,M,,god,Greek,,Yes,Wikipedia,,,,,,,,Temple_of_Poseidon_at_Sounion,Q49819204,,,,,,377240SSou,,,
"1000225",Temple of Athena,Minerva,temple,,Sounio,Sounion,"580107",GR,37.652933,24.027015,"98",E,,470 BCE,,,"-5",1st c. CE,,,F,,god,Greek,,Yes,,,,,,,,,,Q24204542,,,,,,377240SAth,,,
"1000226",Heroon of Phrontis,Phrontis,temple,,Sounio,Sounion,"580107",GR,37.653068,24.02716,"102",E,,5th c. BCE,,,"-5",,,,M,,hero,Greek,,Yes,,,,,,,,,,,,,,,,,,,
"1000227",Capitolium,"Jupiter, Juno, Minerva",temple,,Terracina,Tarracina,"433143",IT,41.29215,13.248628,"224",SW,,,,,,,,,M/F,,god,Roman,,Yes,Wikipedia,,,"19795",,,,,,Q30524229,,,,,,,,,
"1000228",Church of San Cesareo,,temple,,Terracina,Tarracina,"433143",IT,41.291923,13.248411,"132",SE,,,,,,,,,,,,Roman,,Yes,PECS,,,"19797",,,,,,,,,,,,,,,
