id,name,dedicatee,type,location,modernplace,ancientplace,pleiadesplace,country,latitude,longitude,orientation,compass,vowed,date,startdateearly,startdatelate,century,enddate,preceded,succeeded,sex,dedicationday,deitytype,culture,style,extant,source,meetings,note,vici,pleiades,dare,arachne,livius,wikipedia,wikidata,digitalromanforum,digitalesforumromanum,trismegistos,ads,cona,topostext,url,checked,gs
"1000025",Temple of Flora,Flora,temple,Circus Maximus,Rome,Rome,"423025",IT,,,,,,"-240","-240",,"-3",,,,F,April 28,nature,Roman,,,,,,,,,,,Temple_of_Flora,Q3983248,,,,,,,,,
"1000026",Temple of Flora,Flora,temple,Quirinal,Rome,Rome,"423025",IT,,,,,,-292-219,"-292","-219","-3",,,,F,May 3,nature,Roman,,,,,,,,,,,,,,,,,,,,,
"1000027",Temple of Fons/Fontus,Fons/Fontus,temple,extra portam fontinalem,Rome,Rome,"423025",IT,,,,,,"-231","-231","-219","-3",,,,M,October 13,nature,Roman,,,,,,,,,,,,,,,,,,,,,
"1000028",Temple of Fors Fortuna,Fors Fortuna,temple,Right bank of Tiber,Rome,Rome,"423025",IT,,,,,,"-293","-292","-280","-3",,,,F,,concept,Roman,,,,,Vici.org,,"422925",,,,,,,,,,,,,,
"1000029",Temple of Fortuna Huiusce Diei,Fortuna,temple,Campus Martius,Rome,Rome,"423025",IT,41.895387,12.476839,"90",E,,1-99,"1","99","1",,,,F,,concept,Roman,,yes,Stamper,,Pleiades: Temple B,"39264","635795593",,"6515",,,,,,,,,419125SFor,,,
"1000030",Temple of Fortuna,Fortuna,temple,Forum Boarium,Rome,Rome,"423025",IT,41.890791,12.481069,"183",S,,"-396","-396",,"-4",,,,F,,concept,Roman,,,Platner and Ashby,,,,,,,,,,,,,,,,,,
"1000031",Temple of Fortuna Muliebris,Fortuna,temple,,Rome,Rome,"423025",IT,41.843745,12.555806,,,,,,,,,,,F,,concept,Roman,,,,,DARE,,,"37154",,,,,,,,,,,,,
"1000032",Temple of the Divine Hadrian,Hadrian,temple,Campus Martius,Rome,Rome,"423025",IT,41.899876,12.479621,"90",E,,"145","145",,"2",,,,M,,emperor,Roman,,,Blake,,Vici.org,"15032",,,"5651",,Temple_of_Hadrian,Q431062,,,,,,419125SHad,,,
"1000033",Temple of Hercules Magnus Custos,Hercules,temple,Circus Flaminius,Rome,Rome,"423025",IT,,,,,-225-223,"-220","-220",,"-3",,,,M,June 4,hero,Roman,,,Ziolkowski,,Pleiades,,,,,,,,,,,,,,,,
"1000034",Temple of Hercules Musarum,Hercules,temple,Circus Flaminius,Rome,Rome,"423025",IT,41.8931188,12.477733,"208",SW,,"-187","-187",,"-2",,,,M,June 30,hero,Roman,,,Arachne,,,,,,"3467458",,,,,,,,,,,,
