id,lat,long
"352250PRha - Rhaukos (Irakleio)",35.235,25.03
"350250URhi - Rhizenia? (Irakleio)",35.169,25.006
"352251ULyk - Lykastos (Irakleio)",35.2024,25.1016
"352252IKre - Crete (Greece)",35.2052,25.1836
"352252UDia - Diatonion? (Irakleio)",35.1869,25.2288
"352254CAig - Dictaean cave (Lasithi)",35.1627,25.4452
"352254PLyk - Lyktos/Lyttos (Irakleio)",35.2081,25.3682
"352257ULat - Kamara (Lasithi)",35.1896,25.719
"352261UPol - Polichna? Trypitos (Lasithi)",35.1986,26.1297
"352261USet - Setaea (Lasithi)",35.2085,26.106
"352262PDra - Dragmos (Lasithi)",35.1804,26.1649
"352263SDik - Zeus Diktaios sanct. (Lasithi)",35.1964,26.276
"352327ULim - Limenia? (Cyprus)",35.167415,32.741684
"352333ULed - Ledroi (Cyprus)",35.157167,33.347297
"352335UChy - Chyt(h)roi (Cyprus)",35.252,33.498
"352339PSal - Salamis/Konstantia (Cyprus)",35.1799505,33.9030525
"353237PHyr - Hyrtakina (Chania)",35.28,23.749
"353237UKan - Kantanos (Chania)",35.316,23.7363
"353237UPel - Pelkis (Chania)",35.2732,23.6666
"353238PEly - Elyros (Chania)",35.287,23.796
"353238USyi - Syia (Chania)",35.252,23.8139
"353239LLeu - Leuka Mt. (Chania)",35.2937,23.9081
"353243PLap - Lappa (Rethymno)",35.2866,24.3361
"353243UHyd - Hydramia (Chania)",35.3482,24.3174
"353243WPyk - Pyktos R. (Chania)",35.459,24.154
"353245PPha - Phalanna (Rethymno)",35.2745,24.5017
"353246PSyb - Sybrita (Rethymno)",35.2597,24.6401
"353247PEle - Eleutherna (Rethymno)",35.3334,24.677
"353248PAxo - Axos (Irakleio)",35.3079,24.8441
"353248WEle - Elektra R. (Rethymno)",35.103,24.693
"353248WLet - Lethaios R. (Irakleio)",35.061,24.778
"353250PTyl - Tylisos (Irakleio)",35.298,25.02
"353251PApo - Apollonia (Irakleio)",35.3271,25.0692
"353251PHer - Heraklion (Crete)",35.3407,25.1332
"353252CEil - Eileithyias cave (Irakleio)",35.324,25.2059
"353252PKno - Knossos (Irakleio)",35.2978,25.1631
"353253WAmn - Amnisos R. (Irakleio)",35.327,25.196
"353253WKat - Katarrhaktes R. (Irakleio)",34.991,25.333
"353253WPot - Pothereus ? R. (Irakleio)",35.221,25.043
"353253WTri - Triton R. (Irakleio)",35.338,25.11
"353254LZep - Zephyrion cape (Irakleio)",35.337,25.385
"353254PChe - Chersonesos (Irakleio)",35.3186,25.3905
"353254SChe - Britomartis sanct. (Irakleio)",35.3106,25.4041
"353256PMil - Milatos (Lasithi)",35.3144,25.5655
"353257POlo - Olous (Lasithi)",35.2577,25.7388
"353258LKad - Kadiston Mt. (Lasithi)",35.32,25.74
"353258SHer - Kato Symi Hermes Aphrodite (Irakleio)",35.056,25.4995
"353263IDio - Dionysiades islands (Lasithi)",35.351,26.179
"353263IOny - Onysia (Lasithi)",35.2756,26.338
"353263LDik - Dikte Mt. (Lasithi)",35.118,25.418
"353263LIta - Itanon cape (Lasithi)",35.198,26.314
"353263LKet - Ketia? cape (Lasithi)",35.223,26.11
"353263LSam - Sammonion cape (Lasithi)",35.315,26.312
"353263PIta - Itanos (Lasithi)",35.2632,26.2635
