1328,,,,,,,,,,,,,,,,,,
"Name","a","b","c","city","country","lat","long","source","vici_id","note","pleiades","dare","arach","livius","wikipedia","wikidata","Archis","http"
"Römische Tempelanlage Auf Borstadt - Schleidweiler",,,," Zemmer","DE",49.885769,6.658008,"Vici.org",5699,"Römische Tempelanlage Auf Borstadt - Schleidweiler -point imported from roscheiderhof.de",,,,,,,,
"Römische Tempelanlage - Gusenburg",,,," Hermeskeil","DE",49.642498,6.925347,"Vici.org",5700,"Römische Tempelanlage - Gusenburg -point imported from roscheiderhof.de",,,,,,,,
"Römische Tempelanlage - Schalkenmehren",,,," Schalkenmehren","DE",50.151859,6.843915,"Vici.org",5701,"Römische Tempelanlage - Schalkenmehren -point imported from roscheiderhof.de",,,,,,,,
"Römischer Tempel - Niersbach",,,," ","DE",49.942722,6.755594,"Vici.org",5702,"Römischer Tempel - Niersbach -point imported from roscheiderhof.de",,,,,,,,
"Römischer Tempelbezirk auf dem Metzenberg - Tawern",,,," Nittel","DE",49.664539,6.509661,"Vici.org",5703,"Römischer Tempelbezirk auf dem Metzenberg - Tawern -point imported from roscheiderhof.de",,,,,"de=Römischer_Tempelbezirk_Tawern","Q1460725 ",,
"Römischer Tempelbezirk - Nattenheim",,,," Nattenheim","DE",50.020042,6.518407,"Vici.org",5704,"Römischer Tempelbezirk - Nattenheim -point imported from roscheiderhof.de",,,,,,,,
"Römischer Tempelbezirk - Otrang",,,," Fließem","DE",50.013863,6.546174,"Vici.org",5705,"Römischer Tempelbezirk - Otrang -point imported from roscheiderhof.de",,,,,,,,
"Tempel am Herrenbrünnchen - Neu-Heiligkreuz",,,," TR","DE",49.745407,6.646463,"Vici.org",5707,"Tempel am Herrenbrünnchen - Neu-Heiligkreuz -point imported from roscheiderhof.de",,,,,,,,
"Tempel auf dem Gelände des Mutterhauses - Altstadt",,,," TR","DE",49.754078,6.630699,"Vici.org",5708,"Tempel auf dem Gelände des Mutterhauses - Altstadt -point imported from roscheiderhof.de",,,,,,"Q723125",,
"Tempel mit Säulenvorbau - Alt-Heiligkreuz",,,," TR","DE",49.746544,6.642509,"Vici.org",5709,"Tempel mit Säulenvorbau - Alt-Heiligkreuz -point imported from roscheiderhof.de",,,,,,,,
"Tempel mit Vorhalle - Alt-Heiligkreuz",,,," TR","DE",49.746704,6.642539,"Vici.org",5710,"Tempel mit Vorhalle - Alt-Heiligkreuz -point imported from roscheiderhof.de",,,,,,,,
"Tempelanlage Beim Lindenkreuz - Münzschatz - Gusterath",,,," Gusterath","DE",49.703876,6.705217,"Vici.org",5711,"Tempelanlage Beim Lindenkreuz - Münzschatz - Gusterath -point imported from roscheiderhof.de",,,,,,,,
"Tempelanlage Beim Lindenkreuz - Umgangstempel - Gusterath",,,," Gusterath","DE",49.703884,6.705037,"Vici.org",5712,"Tempelanlage Beim Lindenkreuz - Umgangstempel - Gusterath -point imported from roscheiderhof.de",,,,,,,,
"Tempelanlage - Neidenbach",,,," Neidenbach","DE",50.107349,6.563914,"Vici.org",5713,"Tempelanlage - Neidenbach -point imported from roscheiderhof.de",,,,,,,,
"Tempelbezirk des Lenus Mars - Trier-West",,,," TR","DE",49.749973,6.613711,"Vici.org",5714,"Tempelbezirk des Lenus Mars - Trier-West -point imported from roscheiderhof.de",,,,,,,,
"Tempelbezirk - Heckenmünster",,,," Heckenmünster","DE",49.89975,6.787938,"Vici.org",5715,"Tempelbezirk - Heckenmünster -point imported from roscheiderhof.de",,,,,,,,
"Tempelbezirk - Hinzerath",,,," Morbach","DE",49.855228,7.165844,"Vici.org",5716,"Tempelbezirk - Hinzerath -point imported from roscheiderhof.de",,,,,,,,
"Tempelheiligtum - Butzweiler",,,," Newel","DE",49.809135,6.606158,"Vici.org",5717,"Tempelheiligtum - Butzweiler -point imported from roscheiderhof.de",,,,,,,,
"Vermutete Tempelanlage - Aach",,,," Aach","DE",49.779331,6.582847,"Vici.org",5719,"Vermutete Tempelanlage - Aach -point imported from roscheiderhof.de",,,,,,,,
