id,ancient_name,lat,long,name,pleiades,latlong,country,city
36753,Apollo Nasiotas,38.378327,22.401788,Apsiphia Is.,540653,"38.378327,22.401788",GR, 
37135,,33.50343,35.82274,Aqaba,678026,"33.50343,35.82274",LB, 
45651,,47.563798,19.050239,Aquincum Mithraeum,,"47.563798,19.050239",HU, Budapest
36983,Athena Skiras,37.983355,23.537097,Arapis,579886,"37.983355,23.537097",GR, 
44523,,40.633325,22.952947,Arch of Galerius and Rotunda,,"40.633325,22.952947",GR, Thessaloniki
21945,Olympia,37.637849,21.630126,Archaia Olympia,570531,"37.637849,21.630126",GR, 
26595,,41.49703,12.99139,"Archi di San Lidano, Sezze",423047,"41.49703,12.99139",IT, 
36877,,37.108227,14.397015,"Arcia, Niscemi",462100,"37.108227,14.397015",IT, 
36739,Mefitis,40.9747584,15.1462381,"Area archeologica della Valle d’Ansanto, Rocca San Felice",442653,"40.9747584,15.1462381",IT, 
42148,,38.111146,15.649244,"Area sacra Griso-Laboccetta, Reggio di Calabria",,"38.111146,15.649244",IT, Reggio Calabria
18147,,48.999616,1.110515,Arnières-sur-Iton,108757,"48.999616,1.110515",FR, Arnières-sur-Iton
8396,,44.926111,2.440556,"Aron, Aurillac",138193,"44.926111,2.440556",FR, Aurillac
36909,,39.050328,30.488595,Arslan Taş,609324,"39.050328,30.488595",TR, 
36645,Aphrodite Golgia,35.087379,33.620066,"Arsos, Athienou",707470,"35.087379,33.620066",,
21970,Artemision,39.017832,23.220954,Artemision,540667,"39.017832,23.220954",GR, 
44353,,56.02405,-3.800156,"Arthur's Oon, Stenhouse",,"56.02405,-3.800156",GB, Stenhousemuir
36603,,41.185198,32.903236,Asağı Güney,844868,"41.185198,32.903236",TR, 
20822,,49.7540781637,6.6306992791,"Asclepius-Tempel, Altstadt",,"49.7540781637,6.6306992791",DE, TR
36584,,32.7894,22.2969,Asgafa,375265,"32.7894,22.2969",LY, Al Qubah
39092,,48.471022,-2.011823,"Asile des Pêcheurs, Taden",,"48.471022,-2.011823",FR, Taden
22681,Asklepieion,36.875681,27.257012,"Asklepieion, Kos",599528,"36.875681,27.257012",GR, 
22685,Asklepieion/Thesmophorion?/Apollo,37.077965,25.140825,"Asklepieion, Paros",599529,"37.077965,25.140825",GR, Paros
43054,,40.1742274,22.4937708,"Asklepios, Dion",,"40.1742274,22.4937708",GR, 
22612,Asklepieion,37.596111,23.079167,Asklipieio,570127,"37.596111,23.079167",GR, Epidavros
36574,,32.377092,20.821488,Aslaia,373739,"32.377092,20.821488",LY, 
36700,,36.7185,26.9743,"Aspripetra, Kos",599533,"36.7185,26.9743",GR, 
37003,Hapsasieion,41.024331,28.951356,at Kepos,521025,"41.024331,28.951356",TR, 
36984,Herakleion,38.121313,23.976136,"at Marathon, N Mikron Helos",579948,"38.121313,23.976136",GR, Ag. Panteleimon
36725,,42.066711,14.446065,Atessa,432707,"42.066711,14.446065",IT, Atessa
36650,Apollo,35.056263,33.581129,Athienou-Ag. Fotios,707479,"35.056263,33.581129",,
22028,Leukothea,41.724221,43.166843,Atskuri,863835,"41.724221,43.166843",GE, Atskuri
20279,,49.9044756129,6.5414370921,"Auf der Heid, Meckel",,"49.9044756129,6.5414370921",DE, Meckel
36931,Zeus Bronton 1,39.582344,30.516333,Avdan,609580,"39.582344,30.516333",TR, 
36752,Apollo,38.50132,24.123329,Avlonari/Itea,540652,"38.50132,24.123329",GR, Avlonari
25637,,51.321052,0.507891,Aylesford,,"51.321052,0.507891",GB, 
36932,Zeus Bronton 3,39.568609,30.440268,Ayvacık,609582,"39.568609,30.440268",TR, 
36934,Zeus ek Didymon Dryon?,38.640404,28.586062,Börtlüce,609584,"38.640404,28.586062",TR, 
17773,,49.744639,7.009449,Bäsch,109374,"49.744639,7.009449",DE, Thalfang
36789,,40.659333,35.924561,Büyük Çelebi,857072,"40.659333,35.924561",TR, 
20868,,49.594225,4.669616,Baâlons,,"49.594225,4.669616",FR, Baâlons
21092,,34.547559,38.2730959,"Baal Temple, Palmyra",,"34.547559,38.2730959",SY, Palmyra
23700,*Panamara,37.2565,28.10687,Bağyaka/Muğla,599853,"37.2565,28.10687",TR, 
36905,Angdisseon,38.860127,30.777064,Bacakale,609304,"38.860127,30.777064",TR, 
17243,Nemora Vacunae,42.54851,13.12684,"Bacugno, Posta",413223,"42.54851,13.12684",IT, Bacugno
2200,,50.0712825,7.0365409,Bad Bertrich,108783,"50.0712825,7.0365409",DE, Bad Bertrich
41677,,39.201378,8.635466,"Bagoi, Perdaxius",,"39.201378,8.635466",IT, 
20760,,48.001416,6.26457,Bains-les-Bains,,"48.001416,6.26457",FR, Bains-les-Bains
44514,,33.593459,35.924413,Bakka,,"33.593459,35.924413",LB, 
45688,,49.99742,8.26984,"Ballplatz, Mainz",,"49.99742,8.26984",DE, MZ
